sku;ITEM;PX VENTA;costo;stock minimo;CATEGORIA
7-00492;KUWAIT AEROSOL VERDE NOCHE X 240;409,46642;199,06;;Kuwait
7-00493;KUWAIT AEROSOL VIOLETA X 240;409,46642;199,06;;Kuwait
2-00494;LATEX AMBIENTE BLANCO TEKNO X 10;5397,568;2624;;Tekno
2-00495;LATEX AMBIENTE BLANCO TEKNO X 20;11064,603;5379;;Tekno
2-00496;LATEX AMBIENTE BLANCO TEKNO X 4;2569,193;1249;;Tekno
2-00497;LATEX AURO BLANCO TEKNO X 1;608,6663;295,9;;Tekno
2-00498;LATEX AURO BLANCO TEKNO X 10;4930,629;2397;;Tekno
2-00499;LATEX AURO BLANCO TEKNO X 20;9184,505;4465;;Tekno
2-00500;LATEX AURO BLANCO TEKNOX 4;2139,28;1040;;Tekno
2-00501;LATEX TECNO REAL TEKNO X 20;4561,216;2356;;Tekno
12-00502;LIBUS ANTEOJOS DE SEGURIDAD ;232,32;120;;Accesorios
15-00503;LIJA AL AGUA ABRADUR NUMERO 100 23 X 28 CM ;73,568;38;;Lijas
15-00504;LIJA AL AGUA ABRADUR NUMERO 120 23 X 28 CM ;73,568;38;;Lijas
15-00505;LIJA AL AGUA ABRADUR NUMERO 150 23 X 28 CM ;73,568;38;;Lijas
15-00506;LIJA AL AGUA PS8 1000 KLINGSPOR;83,20928;42,98;;Lijas
15-00507;LIJA AL AGUA PS8 1200 KLINGSPOR;82,41552;42,57;;Lijas
15-00508;LIJA AL AGUA PS8 180 KLINGSPOR;82,41552;42,57;;Lijas
15-00509;LIJA AL AGUA PS8 2000 KLINGSPOR;102,04656;52,71;;Lijas
15-00510;LIJA AL AGUA PS8 220 KLINGSPOR;82,41552;42,57;;Lijas
15-00511;LIJA AL AGUA PS8 80 KLINGSPOR;93,61044;42,98;;Lijas
15-00512;LIJA MADERA  ABRADUR NUMERO 100 23 X 28 CM ;65,34;30;;Lijas
15-00513;LIJA MADERA ABRADUR NUMERO 150 23 X 28 CM ;65,34;30;;Lijas
6-00514;LIJADORA EXCENT METABO FSX200 INTEC ;17190,06731;8071,97;;Metabo
6-00515;LIJADORA ORBITAL METABO FSR 200 INTEC ;13787,30144;7121,54;;Metabo
6-00516;LLAVE DE IMP BATERIA METABO SSW18 LTX 300BL;70991,8132;33335,75;;Metabo
1-00517;MADERIN ACEITE PARA MADERAS X 1;218,30336;112,76;;Duracril
1-00518;MADERIN ACEITE PARA MADERAS X 4;728,55552;376,32;;Duracril
1-00519;MADERIN BARNIZ MARINO EXTRA BRILLO X 20;17086,41;7845;;Duracril
1-00520;MADERIN BARNIZ MARINO EXTRA BRILLO X 4;3809,322;1749;;Duracril
1-00521;MADERIN BARNIZ MARINO INCOLORO BRILLANTE X 1;1048,69248;541,68;;Duracril
1-00522;MADERIN BARNIZ MARINO INCOLORO BRILLANTE X 1/2;444,62176;229,66;;Duracril
1-00523;MADERIN BARNIZ MARINO INCOLORO BRILLANTE X 1/4;431,22464;222,74;;Duracril
1-00524;MADERIN BARNIZ MARINO INCOLORO BRILLANTE X 20;15797,1792;8159,7;;Duracril
1-00525;MADERIN BARNIZ MARINO INCOLORO MATE X 1;1153,54624;595,84;;Duracril
1-00526;MADERIN BARNIZ MARINO INCOLORO MATE X 1/2;663,69952;342,82;;Duracril
1-00527;MADERIN BARNIZ MARINO INCOLORO MATE X 1/4;431,22464;222,74;;Duracril
1-00528;MADERIN BARNIZ MARINO INCOLORO MATE X 4;3875,25248;2001,68;;Duracril
1-00529;MADERIN BARNIZ MARINO INCOLORO SATINADO X 1;1153,54624;595,84;;Duracril
1-00530;MADERIN BARNIZ MARINO INCOLORO SATINADO X 1/2;663,69952;342,82;;Duracril
1-00531;MADERIN BARNIZ MARINO INCOLORO SATINADO X 1/4;431,22464;222,74;;Duracril
1-00532;MADERIN BARNIZ MARINO INCOLORO SATINADO X 4;3875,25248;2001,68;;Duracril
1-00533;MADERIN IMPREGNANTE LACA BRILLANTE MADERA UN COMPONENTE X 1;1824,66064;942,49;;Duracril
1-00534;MADERIN IMPREGNANTE LACA BRILLANTE MADERA UN COMPONENTE X 4;4907,29536;2534,76;;Duracril
1-00535;MADERIN IMPREGNANTE LACA MARINA PARA EXTERIOR X 1 AGUA MINER;1129,98512;583,67;;Duracril
1-00536;MADERIN IMPREGNANTE LACA MARINA PARA EXTERIOR X 4 AGUA MINER;3880,18928;2004,23;;Duracril
1-00537;MADERIN IMPREGNANTE LASUR TRADICIONAL ALGARROBO X 1;966,79;470;;Duracril
1-00538;MADERIN IMPREGNANTE LASUR TRADICIONAL ALGARROBO X 10;7944,134;3862;;Duracril
1-00539;MADERIN IMPREGNANTE LASUR TRADICIONAL ALGARROBO X 4;3188,35;1550;;Duracril
1-00540;MADERIN IMPREGNANTE LASUR TRADICIONAL CAOBA X 1;966,79;470;;Duracril
1-00541;MADERIN IMPREGNANTE LASUR TRADICIONAL CAOBA X 10;7944,134;3862;;Duracril
1-00542;MADERIN IMPREGNANTE LASUR TRADICIONAL CEDRO X 1;966,79;470;;Duracril
1-00543;MADERIN IMPREGNANTE LASUR TRADICIONAL CEDRO X 10;7944,134;3862;;Duracril
1-00544;MADERIN IMPREGNANTE LASUR TRADICIONAL CEDRO X 4;3188,35;1550;;Duracril
1-00545;MADERIN IMPREGNANTE LASUR TRADICIONAL CRISTAL X 1;966,79;470;;Duracril
1-00546;MADERIN IMPREGNANTE LASUR TRADICIONAL CRISTAL X 10;7944,134;3862;;Duracril
1-00547;MADERIN IMPREGNANTE LASUR TRADICIONAL CRISTAL X 4;3188,35;1550;;Duracril
1-00548;MADERIN IMPREGNANTE LASUR TRADICIONAL NATURAL X 1;966,79;470;;Duracril
1-00549;MADERIN IMPREGNANTE LASUR TRADICIONAL NATURAL X 10;7944,134;3862;;Duracril
1-00550;MADERIN IMPREGNANTE LASUR TRADICIONAL NATURAL X 4;3188,35;1550;;Duracril
1-00551;MADERIN IMPREGNANTE LASUR TRADICIONAL NOGAL X 1;966,79;470;;Duracril
1-00552;MADERIN IMPREGNANTE LASUR TRADICIONAL NOGAL X 10;7944,134;3862;;Duracril
1-00553;MADERIN IMPREGNANTE LASUR TRADICIONAL NOGAL X 4;3188,35;1550;;Duracril
1-00554;MADERIN IMPREGNANTE LASUR TRADICIONAL PETIRIBI X 1;966,79;470;;Duracril
1-00555;MADERIN IMPREGNANTE LASUR TRADICIONAL PETIRIBI X 10;7944,134;3862;;Duracril
1-00556;MADERIN IMPREGNANTE LASUR TRADICIONAL PETIRIBI X 4;3188,35;1550;;Duracril
1-00557;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE CLARO X 1;966,79;470;;Duracril
1-00558;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE CLARO X 10;7944,134;3862;;Duracril
1-00559;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE CLARO X 4;3188,35;1550;;Duracril
1-00560;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE OSCURO X 1;966,79;470;;Duracril
1-00561;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE OSCURO X 10;7944,134;3862;;Duracril
1-00562;MADERIN IMPREGNANTE LASUR TRADICIONAL ROBLE OSCURO X 4;3188,35;1550;;Duracril
1-00563;MADERIN IMPREGNANTE LASUR TRADICIONAL VIRARO X 1;966,79;470;;Duracril
1-00564;MADERIN IMPREGNANTE LASUR TRADICIONAL VIRARO X 10;7944,134;3862;;Duracril
1-00565;MADERIN IMPREGNANTE LASUR TRADICIONAL VIRARO X 4;3188,35;1550;;Duracril
1-00566;MADERIN IMPREGNANTE LASUR TRADICIONAL WENGUE X 1;966,79;470;;Duracril
1-00567;MADERIN IMPREGNANTE LASUR TRADICIONAL WENGUE X 10;7944,134;3862;;Duracril
1-00568;MADERIN IMPREGNANTE LASUR TRADICIONAL WENGUE X 4;3188,35;1550;;Duracril
1-00569;MADERIN IMPREGNANTE LASUR TRADICIONAL X 1 LITRO ALGARROBO;818,36656;422,71;;Duracril
1-00570;MADERIN IMPREGNANTE LASUR TRADICIONAL X 1 LITRO CAOBA;818,36656;422,71;;Duracril
1-00571;MADERIN IMPREGNANTE LASUR TRADICIONAL X 1 LITRO CRISTAL;818,36656;422,71;;Duracril
1-00572;MADERIN IMPREGNANTE LASUR TRADICIONAL X 1 LITRO PETIRIBI;818,36656;422,71;;Duracril
1-00573;MADERIN IMPREGNANTE LASUR TRADICIONAL X 1 LITRO ROBLE CLARO ;818,36656;422,71;;Duracril
1-00574;MADERIN IMPREGNANTE LASUR TRADICIONAL X 1 LITRO VIRARO;818,36656;422,71;;Duracril
1-00575;MADERIN IMPREGNANTE LASUR TRADICIONAL X 10 LITROS ALGARROBO;7405,2;3825;;Duracril
1-00576;MADERIN IMPREGNANTE LASUR TRADICIONAL X 10 LITROS CAOBA;7405,2;3825;;Duracril
1-00577;MADERIN IMPREGNANTE LASUR TRADICIONAL X 10 LITROS ROBLE CLARO ;7405,2;3825;;Duracril
1-00578;MADERIN MASILLA COLOR PARA MADERA  ALGARROBO X 200 GRS;236,555;115;;Duracril
1-00579;MADERIN MASILLA COLOR PARA MADERA CAOBA X 200 GRS;236,555;115;;Duracril
1-00580;MADERIN MASILLA COLOR PARA MADERA CEDRO X 200 GRS;236,555;115;;Duracril
1-00581;MADERIN MASILLA COLOR PARA MADERA EUCALIPTO X 200 GRS;236,555;115;;Duracril
1-00582;MADERIN MASILLA COLOR PARA MADERA NATURAL X 200 GRS;236,555;115;;Duracril
1-00583;MADERIN MASILLA COLOR PARA MADERA NOGAL X 200 GRS;236,555;115;;Duracril
1-00584;MADERIN MASILLA COLOR PARA MADERA PETIRIBI X 200 GRS;236,555;115;;Duracril
1-00585;MADERIN MASILLA COLOR PARA MADERA PINO  X 200 GRS;236,555;115;;Duracril
1-00586;MADERIN MASILLA COLOR PARA MADERA ROBLE OSCURO X 200 GRS;236,555;115;;Duracril
1-00587;MADERIN MASILLA COLOR PARA MADERA VIRARO X 200 GRS;236,555;115;;Duracril
1-00588;MADERIN MASILLA COLOR PARA MADERA WENGUE X 200 GRS;236,555;115;;Duracril
1-00589;MADERIN TINTA COLOR PARA MADERA ALGARROBO X 70 CC;267,41;130;;Duracril
1-00590;MADERIN TINTA COLOR PARA MADERA AZUL MEDITERRANEO X 70 CC;267,41;130;;Duracril
1-00591;MADERIN TINTA COLOR PARA MADERA CAOBA X 70 CC;267,41;130;;Duracril
1-00592;MADERIN TINTA COLOR PARA MADERA CEDRO X 70 CC;267,41;130;;Duracril
1-00593;MADERIN TINTA COLOR PARA MADERA NOGAL X 70 CC;267,41;130;;Duracril
1-00594;MADERIN TINTA COLOR PARA MADERA PETIRIBI X 70 CC;267,41;130;;Duracril
1-00595;MADERIN TINTA COLOR PARA MADERA ROBLE CLARO X 70 CC;267,41;130;;Duracril
1-00596;MADERIN TINTA COLOR PARA MADERA VIRARO X 70 CC;267,41;130;;Duracril
1-00597;MADERIN TINTA COLOR PARA MADERA X ROBLE OSCURO 70 CC;267,41;130;;Duracril
12-00598;MAMELUCO PINTOR ;1830,73;890;;Accesorios
6-00599;MARTILLO COMBINADO METABO KHE 2644;33874,05965;17417,76;;Metabo
6-00600;MARTILLO DEMOLEDOR METABO MHEV 11BL;198287,685;101957,88;;Metabo
2-00601;MASILLA PLACA YESO TEKNO X 35;3910,357;1901;;Tekno
2-00602;MASILLA PLACA YESO TEKNO X 6;1073,754;522;;Tekno
10-00603;MEGATON EMULSION ASFALTICA X 18;2500;1100;;Aislamax
9-00604;MEMBRANA ASFALTICA ALUMINIZADA FLEX 4 MM X 40 M;2950;2000;;Lamiplas
2-00605;OROLATEX LATEX ACRILICO SATINADO BASE D X 10;0;;;Tekno
2-00606;OROLATEX LATEX ACRILICO SATINADO BLANCO BASE T X 10;0;;;Tekno
2-00607;OROLATEX PADDLE  PARA PISO ROJO OXIDO X 20;13012,582;6326;;Tekno
2-00608;OROLATEX PADDLE  PARA ROJO OXIDO X 4;2727,582;1326;;Tekno
2-00609;OROLATEX PADDLE PARA PISO NEGRO X 10;9536,252;4636;;Tekno
2-00610;OROLATEX PADDLE PARA PISO NEGRO X 20;17955,553;8729;;Tekno
2-00611;OROLATEX PADDLE PARA PISO NEGRO X 4;4120,171;2003;;Tekno
2-00612;OROLATEX PADDLE PARA PISO NEGRO X 4;4656,00256;2404,96;;Tekno
2-00613;OROLATEX PADDLE PARA PISO ROJO OXIDO X 1;862,0887;419,1;;Tekno
2-00614;OROLATEX PADDLE PARA PISO ROJO OXIDO X 10;7125,448;3464;;Tekno
2-00615;OROLATEX PADDLE PARA PISO VERDE 301  X 4;5115,759;2487;;Tekno
2-00616;OROLATEX PADDLE PARA PISO VERDE 301 X  10;12403,71;6030;;Tekno
2-00617;OROLATEX PADDLE PARA PISO VERDE 301 X 20;23577,334;11462;;Tekno
4-00618;"PAD PROFESIONAL 9""";0;;;Galgo
5-00619;PINCEL EL TUCAN 10;185,13;90;;PIN-VAR
5-00620;PINCEL EL TUCAN 15;205,7;100;;PIN-VAR
5-00621;PINCEL EL TUCAN 20;236,555;115;;PIN-VAR
5-00622;PINCEL EL TUCAN 25;267,41;130;;PIN-VAR
5-00623;PINCEL EL TUCAN 30;298,265;145;;PIN-VAR
5-00624;PINCEL EL TUCAN 7;164,56;80;;PIN-VAR
4-00625;PINCEL ELEFANTE PROFESIONAL N* 10;213,928;104;;Galgo
4-00626;PINCEL ELEFANTE PROFESIONAL N* 15;232,441;113;;Galgo
4-00627;PINCEL ELEFANTE PROFESIONAL N* 20;278,55894;135,42;;Galgo
4-00628;PINCEL ELEFANTE PROFESIONAL N* 25;803,73161;390,73;;Galgo
4-00629;PINCEL ELEFANTE PROFESIONAL N* 30;998,63236;485,48;;Galgo
4-00630;PINCEL ELEFANTE SERIE 1000 N* 10;116,77589;56,77;;Galgo
4-00631;PINCEL ELEFANTE SERIE 1000 N* 15;142,89979;69,47;;Galgo
4-00632;PINCEL ELEFANTE SERIE 1000 N* 20;173,03484;84,12;;Galgo
4-00633;PINCEL ELEFANTE SERIE 1000 N* 25;238,89998;116,14;;Galgo
4-00634;PINCEL ELEFANTE SERIE 1000 N* 30;300,42485;146,05;;Galgo
4-00635;PINCEL GALGO 101-10 SERIE 1;155,65319;75,67;;Galgo
4-00636;PINCEL GALGO 101-15 SERIE 1;185,27399;90,07;;Galgo
4-00637;PINCEL GALGO 101-20 SERIE 1;237,56293;115,49;;Galgo
4-00638;PINCEL GALGO 101-25 SERIE 1;309,02311;150,23;;Galgo
4-00639;PINCEL GALGO 101-30 SERIE 1;421,17075;204,75;;Galgo
4-00640;PINCEL GALGO MIX SEMIPROFESIONAL V2 NATURAL N* 10;527,94962;256,66;;Galgo
4-00641;PINCEL GALGO MIX SEMIPROFESIONAL V2 NATURAL N* 15;659,33021;320,53;;Galgo
4-00642;PINCEL GALGO MIX SEMIPROFESIONAL V2 NATURAL N* 20;786,00027;382,11;;Galgo
4-00643;PINCEL GALGO MIX SEMIPROFESIONAL V2 NATURAL N* 25;1075,58473;522,89;;Galgo
4-00644;PINCEL GALGO MIX SEMIPROFESIONAL V2 NATURAL N* 30;1313,88818;638,74;;Galgo
10-00645;PINTURA ASFALTICA AISLAMAX X 18 LTS;4500;;;Aislamax
2-00646;PLASTIFICANTE HIDROSOLUBLE X 1;929,9697;452,1;;Tekno
2-00647;PLASTIFICANTE HIDROSOLUBLE X 10;7664,382;3726;;Tekno
2-00648;PLASTIFICANTE HIDROSOLUBLE X 20;14902,965;7245;;Tekno
2-00649;PLASTIFICANTE HIDROSOLUBLE X 4;3227,433;1569;;Tekno
1-00650;POLILUX MEMBRANA ELASTOMERICA TECHOS Y TERRAZAS;3200;2000;;Duracril
12-00651;PROTECTOR RESPIRATORIO FRAVIDA 5330;2038,487;991;;Accesorios
8-00652;RECUMIX EXTERIOR X 1 1/4;675,9423;310,35;;Sinteplast
8-00653;RECUMIX EXTERIOR X 1/2;588,84408;270,36;;Sinteplast
8-00654;RECUMIX EXTERIOR X 5 KG;2829,222;1299;;Sinteplast
8-00655;RECUMIX INTERIOR X 1 1/4;675,9423;310,35;;Sinteplast
8-00656;RECUMIX INTERIOR X 1/2;588,84408;270,36;;Sinteplast
8-00657;RECUMIX INTERIOR X 5 KG;2829,222;1299;;Sinteplast
12-00658;REPUESTO FILTRO FRAVIDA;1812,217;881;;Accesorios
5-00659;RODILLO  EPOXI 22;650,375;215;;PIN-VAR
5-00660;RODILLO ANTIGOTA 17;598,95;198;;PIN-VAR
5-00661;RODILLO ANTIGOTA 22;650,375;215;;PIN-VAR
4-00662;RODILLO ARTE GALGO FOAM N* 07;603,33625;199,45;;Galgo
4-00663;RODILLO ARTE GALGO FOAM N* 11;752,40825;248,73;;Galgo
4-00664;RODILLO ARTE GALGO FOAM N* 16;953,722;315,28;;Galgo
5-00665;RODILLO CUBREMAS N* 22;1300,6895;429,98;;PIN-VAR
4-00666;RODILLO ELEFANTE N* 17;1495,923;494,52;;Galgo
4-00667;RODILLO ELEFANTE N* 22;1693,032;559,68;;Galgo
5-00668;RODILLO EPOXI 22;377,59744;195,04;;PIN-VAR
4-00669;RODILLO GALGO DORADO N* 22;2813,64325;930,13;;Galgo
4-00670;RODILLO LANA NATURAL GALGO LINEA HOGAR N* 22;1459,6835;482,54;;Galgo
5-00671;RODILLO LANA SUPERFICIE 40;816,75;270;;PIN-VAR
5-00672;RODILLO LANA SUPERFICIE 50;995,225;329;;PIN-VAR
5-00673;RODILLO MINI ANTIGOTA 11;199,65;66;;PIN-VAR
5-00674;RODILLO MINI ANTIGOTA 5;166,375;55;;PIN-VAR
5-00675;RODILLO MINI ANTIGOTA 8;184,525;61;;PIN-VAR
5-00676;RODILLO MINI CON FUNDA 11;190,575;63;;PIN-VAR
5-00677;RODILLO MINI CON FUNDA 5;166,375;55;;PIN-VAR
5-00678;RODILLO MINI CON FUNDA 8;175,45;58;;PIN-VAR
5-00679;RODILLO MINI EPOXI 11;219,615;72,6;;PIN-VAR
5-00680;RODILLO MINI EPOXI 5;183,0125;60,5;;PIN-VAR
5-00681;RODILLO MINI EPOXI 8;202,9775;67,1;;PIN-VAR
5-00682;RODILLO MINI SIN FUNDA 11;181,5;60;;PIN-VAR
5-00683;RODILLO MINI SIN FUNDA 5;154,275;51;;PIN-VAR
5-00684;RODILLO MINI SIN FUNDA 8;166,375;55;;PIN-VAR
5-00685;RODILLO POLIESTER 22 YETTY;807,675;267;;PIN-VAR
5-00686;RODILLO SOL LANA SUPER BLANCO 50 X 22;1043,02;431;;PIN-VAR
5-00687;RODILLO SOL LANA SUPER NARANJA 50 X 22;1127,72;466;;PIN-VAR
5-00688;RODILLO SOL LANA SUPER ROJO 50 X 22;1127,72;466;;PIN-VAR
6-00689;SIERRA CIRCULAR METABO KS 66 FS;40988,64546;19247,11;;Metabo
1-00690;SINTECRIM ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 NEGRO MATE;382,602;186;;Duracril
1-00691;SINTECRIN ESMALTE SINTETICO BRILLANTE CON ZIRCONIO NEGRO X 20;15686,682;7626;;Duracril
1-00692;SINTECRIN ESMALTE SINTETICO BRILLANTE CON ZIRCONIO VIAL BLANCO X 20;36415,071;17703;;Duracril
1-00693;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 AMARILLO MEDIO;803,30448;414,93;;Duracril
1-00694;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 AZULEJO;803,30448;414,93;;Duracril
1-00695;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 BEIGE;803,30448;414,93;;Duracril
1-00696;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 BLANCO;803,30448;414,93;;Duracril
1-00697;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 BLANCO MATE;803,30448;414,93;;Duracril
1-00698;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 CELESTE;803,30448;414,93;;Duracril
1-00699;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 CREMA ;803,30448;414,93;;Duracril
1-00700;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 GRIS PERLA;803,30448;414,93;;Duracril
1-00701;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 MARFIL;803,30448;414,93;;Duracril
1-00702;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 ROSA;803,30448;414,93;;Duracril
1-00703;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 TRAFUL;803,30448;414,93;;Duracril
1-00704;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 VERDE CLARO;803,30448;414,93;;Duracril
1-00705;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 BLANCO;485,89728;250,98;;Duracril
1-00706;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 BLANCO MATE;485,89728;250,98;;Duracril
1-00707;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 BLANCO SATINADO;485,89728;250,98;;Duracril
1-00708;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 CELESTE ;485,89728;250,98;;Duracril
1-00709;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 GRIS ESPACIAL;485,89728;250,98;;Duracril
1-00710;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 GRIS PERLA ;485,89728;250,98;;Duracril
1-00711;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 MARFIL;485,89728;250,98;;Duracril
1-00712;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 ROSA ;485,89728;250,98;;Duracril
1-00713;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 TRAFUL;485,89728;250,98;;Duracril
1-00714;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2MARFIL CEDA;485,89728;250,98;;Duracril
1-00715;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 20 BLANCO ;14432,71423;7016,39;;Duracril
1-00716;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 4 BLANCO ;3157,65956;1535,08;;Duracril
1-00717;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 4 BLANCO MATE;3157,65956;1535,08;;Duracril
1-00718;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 4 BLANCO SATINADO;3157,65956;1535,08;;Duracril
1-00719;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 CEDRO;676,98048;349,68;;Duracril
1-00720;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 GRIS ;676,98048;349,68;;Duracril
1-00721;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 GRIS HIELO;676,98048;349,68;;Duracril
