sku;ITEM;PX VENTA;costo;stock minimo;CATEGORIA
1-00722;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 MARRON;676,98048;349,68;;Duracril
1-00723;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 NEGRO;676,98048;349,68;;Duracril
1-00724;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 NEGRO MATE;676,98048;349,68;;Duracril
1-00725;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 NEGRO SATINADO;676,98048;349,68;;Duracril
1-00726;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 OCRE;676,98048;349,68;;Duracril
1-00727;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 TABACO;676,98048;349,68;;Duracril
1-00728;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 VICUÑA ;676,98048;349,68;;Duracril
1-00729;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 CEDRO;415,71728;214,73;;Duracril
1-00730;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 GRIS ;415,71728;214,73;;Duracril
1-00731;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 GRIS HIELO;415,71728;214,73;;Duracril
1-00732;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 MARRON;415,71728;214,73;;Duracril
1-00733;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 NEGRO;415,71728;214,73;;Duracril
1-00734;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 NEGRO MATE;415,71728;214,73;;Duracril
1-00735;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 NEGRO SATINADO;415,71728;214,73;;Duracril
1-00736;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 OCRE;415,71728;214,73;;Duracril
1-00737;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 TABACO;415,71728;214,73;;Duracril
1-00738;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 VICUÑA ;415,71728;214,73;;Duracril
1-00739;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 CEDRO;271,21424;140,09;;Duracril
1-00740;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 GRIS ;271,21424;140,09;;Duracril
1-00741;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 MARRON ;271,21424;140,09;;Duracril
1-00742;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 NEGRO;271,21424;140,09;;Duracril
1-00743;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 NEGRO SATINADO;271,21424;140,09;;Duracril
1-00744;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 OCRE;271,21424;140,09;;Duracril
1-00745;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 TABACO;271,21424;140,09;;Duracril
1-00746;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 VICUÑA;271,21424;140,09;;Duracril
1-00747;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 20 NEGRO;11450,59905;5566,65;;Duracril
1-00748;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 4  NEGRO MATE;2561,23241;1245,13;;Duracril
1-00749;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 4 CEDRO;2508,01056;1295,46;;Duracril
1-00750;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 4 GRIS ;2508,01056;1295,46;;Duracril
1-00751;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 4 GRIS HIELO;2508,01056;1295,46;;Duracril
1-00752;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 4 NEGRO ;2561,23241;1245,13;;Duracril
1-00753;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 4 NEGRO MATE;2508,01056;1295,46;;Duracril
1-00754;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 4 NEGRO SATINADO;2561,23241;1245,13;;Duracril
1-00755;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 AMARILLO;1055,06192;544,97;;Duracril
1-00756;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 AZUL MARINO;1055,06192;544,97;;Duracril
1-00757;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 BERMELLON;1055,06192;544,97;;Duracril
1-00758;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 CARMIN ;1055,06192;544,97;;Duracril
1-00759;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 CASTAÑO;1055,06192;544,97;;Duracril
1-00760;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 NARANJA;1055,06192;544,97;;Duracril
1-00761;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 VERDE ILUSION;1055,06192;544,97;;Duracril
1-00762;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 VERDE INGLES ;1055,06192;544,97;;Duracril
1-00763;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 VERDE NOCHE;1055,06192;544,97;;Duracril
1-00764;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1 VIOLETA ;1055,06192;544,97;;Duracril
1-00765;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/2 AMARILLO;625,77328;323,23;;Duracril
1-00766;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/2 AZUL MARINO;625,77328;323,23;;Duracril
1-00767;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/2 BERMELLON;625,77328;323,23;;Duracril
1-00768;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/2 CARMIN;625,77328;323,23;;Duracril
1-00769;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/2 NARANJA;625,77328;323,23;;Duracril
1-00770;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/2 VERDE ESMERALDA ;625,77328;323,23;;Duracril
1-00771;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/2 VERDE ILUSION;625,77328;323,23;;Duracril
1-00772;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/2 VERDE NOCHE ;625,77328;323,23;;Duracril
1-00773;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/4 AMARILLO;376,2616;194,35;;Duracril
1-00774;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/4 AZUL MARINO;376,2616;194,35;;Duracril
1-00775;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/4 BERMELLON;376,2616;194,35;;Duracril
1-00776;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/4 CASTAÑO;376,2616;194,35;;Duracril
1-00777;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/4 NARANJA;376,2616;194,35;;Duracril
1-00778;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/4 VERDE INGLES;376,2616;194,35;;Duracril
1-00779;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/4 VERDE NOCHE;376,2616;194,35;;Duracril
1-00780;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 1/4 VIOLETA;376,2616;194,35;;Duracril
1-00781;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 20 VERDE INGLES;20377,44423;9906,39;;Duracril
1-00782;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 4  BERMELLON;4346,60556;2113,08;;Duracril
1-00783;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 4 CARMIN;4090,92288;2113,08;;Duracril
1-00784;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 4 CASTAÑO;4090,92288;2113,08;;Duracril
1-00785;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 3 X 4 VERDE INGLES;4090,92288;2113,08;;Duracril
1-00786;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 4 PIZARRON NEGRO X 1;1244,09296;642,61;;Duracril
1-00787;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 4 PIZARRON NEGRO X 4 ;4504,8784;2326,9;;Duracril
1-00788;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 4 PIZARRON ROJO X 1;1244,09296;642,61;;Duracril
1-00789;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 4 PIZARRON ROJO X 1/4;402,12656;207,71;;Duracril
1-00790;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 4 PIZARRON ROJO X 4 ;4504,8784;2326,9;;Duracril
1-00791;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 4 PIZARRON VERDE X 4;4504,8784;2326,9;;Duracril
12-00792;SOPORTE TELESCOPICO STANLEY 114-289CM;7199,5;3500;;Accesorios
14-00793;SUPRABOND SELLADOR ACRILICO PINTABLE BLANCO;464,882;226;;Suprabond
14-00794;SUPRABOND SELLADOR ACRILICO PREMIUM JUNTAS Y FISURAS TRANSPARENTE;575,96;280;;Suprabond
14-00795;SUPRABOND SELLADOR DE CAUCHO PISCINAS AZUL;1057,298;514;;Suprabond
14-00796;SUPRABOND SELLADOR DE CAUCHO SINTETICO MULTIUSO BLANCO;1131,35;550;;Suprabond
14-00797;SUPRABOND SELLADOR DE CAUCHO SINTETICO MULTIUSO GRIS;1131,35;550;;Suprabond
14-00798;SUPRABOND SELLADOR DE MADERAS NOGAL;582,131;283;;Suprabond
14-00799;SUPRABOND SELLADOR DE MADERAS PINO;582,131;283;;Suprabond
14-00800;SUPRABOND SELLADOR DE METALES ZINGUERIA ALUMINIO;1001,759;487;;Suprabond
14-00801;SUPRABOND SELLADOR DE POLIURETANO GRIS;1532,465;745;;Suprabond
14-00802;SUPRABOND SELLADOR DE SILICONA BAÑOS Y COCINA TRANSPARENTE;892,738;434;;Suprabond
14-00803;SUPRABOND SELLADOR DE SILICONA NEUTRA CONSTRUCCION TRANSPARENTE;888,624;432;;Suprabond
14-00804;SUPRABOND SELLADOR DE SILICONA UNIVERSAL BLANCO;586,245;285;;Suprabond
14-00805;SUPRABOND SELLADOR DE SILICONA UNIVERSAL NEGRO;586,245;285;;Suprabond
14-00806;SUPRABOND SELLADOR DE SILICONA UNIVERSAL TRANSPARENTE;586,245;285;;Suprabond
6-00807;SURTIDO HOJA DE SIERRA METABO 10PZ;272,5888;128;;Metabo
1-00808;TACURU ADITIVO PLASTICO X 1 ;845,427;411;;Duracril
1-00809;TACURU ADITIVO PLASTICO X 4;3048,474;1482;;Duracril
6-00810;TALADRO ATORNILLADOR BATERIA METABO BS18 LT;37092,8617;17417,76;;Metabo
6-00811;TALADRO DE PERCUSION BATERIA METABO SB18L;54547,80866;25614,11;;Metabo
6-00812;TALADRO DE PERCUSION METABO SBE 650;18547,53824;8709,4;;Metabo
6-00813;TALADRO DE ROTACION  METABO BEV 1300-2;48003,2923;22540,99;;Metabo
2-00814;TEKNO PROTECTOR MADERA CAOBA X 1;1144,9262;556,6;;Tekno
2-00815;TEKNO PROTECTOR MADERA CAOBA X 4;4299,13;2090;;Tekno
2-00816;TEKNO PROTECTOR MADERA CEDRO X 1;1144,9262;556,6;;Tekno
2-00817;TEKNO PROTECTOR MADERA CEDRO X 4;4299,13;2090;;Tekno
2-00818;TEKNO PROTECTOR MADERA NATURAL X 1;1279,6234;556,6;;Tekno
2-00819;TEKNO PROTECTOR MADERA NATURAL X 20;21224,368;9232;;Tekno
2-00820;TEKNO PROTECTOR MADERA NATURAL X 4;4804,91;2090;;Tekno
2-00821;TEKNO PROTECTOR MADERA NOGAL X 1;1279,6234;556,6;;Tekno
2-00822;TEKNO PROTECTOR MADERA NOGAL X 4;4804,91;2090;;Tekno
2-00823;TEKNOLATEX COLOR AMARILLO ORO X 1;1026,7334;446,6;;Tekno
2-00824;TEKNOLATEX COLOR AMARILLO ORO X 1/2;604,4071;262,9;;Tekno
2-00825;TEKNOLATEX COLOR AMARILLO ORO X 4;3568,048;1552;;Tekno
2-00826;TEKNOLATEX COLOR AMARILLO X 1 ;1355,4904;589,6;;Tekno
2-00827;TEKNOLATEX COLOR AMARILLO X 1/2;804,1902;349,8;;Tekno
2-00828;TEKNOLATEX COLOR AMARILLO X 4;5352,072;2328;;Tekno
2-00829;TEKNOLATEX COLOR AZUL INTENSO X 1 ;1026,7334;446,6;;Tekno
2-00830;TEKNOLATEX COLOR AZUL INTENSO X 1/2;604,4071;262,9;;Tekno
2-00831;TEKNOLATEX COLOR AZUL INTENSO X 4;3568,048;1552;;Tekno
2-00832;TEKNOLATEX COLOR AZUL LAVANDA X 1 ;1026,7334;446,6;;Tekno
2-00833;TEKNOLATEX COLOR AZUL LAVANDA X 1/2;604,4071;262,9;;Tekno
2-00834;TEKNOLATEX COLOR AZUL LAVANDA X 4;3568,048;1552;;Tekno
2-00835;TEKNOLATEX COLOR AZUL X 1 ;1026,7334;446,6;;Tekno
2-00836;TEKNOLATEX COLOR AZUL X 1/2;604,4071;262,9;;Tekno
2-00837;TEKNOLATEX COLOR AZUL X 4;3568,048;1552;;Tekno
2-00838;TEKNOLATEX COLOR BERMELLON X 1 ;1355,4904;589,6;;Tekno
2-00839;TEKNOLATEX COLOR BERMELLON X 1/2;804,1902;349,8;;Tekno
2-00840;TEKNOLATEX COLOR BERMELLON X 4;5352,072;2328;;Tekno
2-00841;TEKNOLATEX COLOR CEMENTO X 1 ;882,5861;383,9;;Tekno
2-00842;TEKNOLATEX COLOR CEMENTO X 1/2;477,9621;207,9;;Tekno
2-00843;TEKNOLATEX COLOR CEMENTO X 4;2888,028;1326;;Tekno
2-00844;TEKNOLATEX COLOR LADRILLO X 1 ;836,1342;383,9;;Tekno
2-00845;TEKNOLATEX COLOR LADRILLO X 1/2;452,8062;207,9;;Tekno
2-00846;TEKNOLATEX COLOR LADRILLO X 4;2888,028;1326;;Tekno
2-00847;TEKNOLATEX COLOR MARRON X 1 ;836,1342;383,9;;Tekno
2-00848;TEKNOLATEX COLOR MARRON X 1/2;452,8062;207,9;;Tekno
2-00849;TEKNOLATEX COLOR MARRON X 4;2727,582;1326;;Tekno
2-00850;TEKNOLATEX COLOR NARANJA X 1 ;1219,5953;592,9;;Tekno
2-00851;TEKNOLATEX COLOR NARANJA X 1/2;719,5386;349,8;;Tekno
2-00852;TEKNOLATEX COLOR NARANJA X 4;4788,696;2328;;Tekno
2-00853;TEKNOLATEX COLOR OCRE X 1 ;789,6823;383,9;;Tekno
2-00854;TEKNOLATEX COLOR OCRE X 1/2;427,6503;207,9;;Tekno
2-00855;TEKNOLATEX COLOR OCRE X 4;3208,92;1326;;Tekno
2-00856;TEKNOLATEX COLOR ROJO OXIDO X 1 ;929,038;383,9;;Tekno
2-00857;TEKNOLATEX COLOR ROJO OXIDO X 1/2;503,118;207,9;;Tekno
2-00858;TEKNOLATEX COLOR ROJO OXIDO X 4;3208,92;1326;;Tekno
2-00859;TEKNOLATEX COLOR TEJA X 1 ;929,038;383,9;;Tekno
2-00860;TEKNOLATEX COLOR TEJA X 1/2;503,118;207,9;;Tekno
2-00861;TEKNOLATEX COLOR TEJA X 4;3208,92;1326;;Tekno
2-00862;TEKNOLATEX COLOR VERDE X 1;1434,818;592,9;;Tekno
2-00863;TEKNOLATEX COLOR VERDE X 1/2;846,516;349,8;;Tekno
2-00864;TEKNOLATEX COLOR VERDE X 4;5633,76;2328;;Tekno
2-00865;TEKNOLATEX FRENTE X 1;1086,096;448,8;;Tekno
2-00866;TEKNOLATEX FRENTE X 10;8692,64;3592;;Tekno
2-00867;TEKNOLATEX FRENTE X 20;15093,54;6237;;Tekno
2-00868;TEKNOLATEX FRENTE X 4;3719,54;1537;;Tekno
2-00869;TEKNOPLAST BLANCO X 1;966,306;399,3;;Tekno
2-00870;TEKNOPLAST BLANCO X 10;7257,58;2999;;Tekno
2-00871;TEKNOPLAST BLANCO X 20;13818,2;5710;;Tekno
2-00872;TEKNOPLAST BLANCO X 4;3025;1250;;Tekno
2-00873;TEKNOPLAST ECO MAX X 1;1019,546;421,3;;Tekno
2-00874;TEKNOPLAST ECO MAX X 10;7257,58;2999;;Tekno
2-00875;TEKNOPLAST ECO MAX X 20;15296,82;6321;;Tekno
2-00876;TEKNOPLAST ECO MAX X 4;3571,92;1476;;Tekno
2-00877;TEKNOPLAST TEJA X 1;1043,504;431,2;;Tekno
2-00878;TEKNOPLAST TEJA X 10;8627,3;3565;;Tekno
2-00879;TEKNOPLAST TEJA X 20;15788,08;6524;;Tekno
2-00880;TEKNOPLAST TEJA X 4;3692,92;1526;;Tekno
2-00881;TEKNOPLAST VERDE X 1 ;939,1536;431,2;;Tekno
2-00882;TEKNOPLAST VERDE X 10;8122,6332;3858;;Tekno
2-00883;TEKNOPLAST VERDE X 20;15354,9;7050;;Tekno
2-00884;TEKNOPLAST VERDE X 4 ;3323,628;1526;;Tekno
15-00885;TELA ESMERIL KL371 100 KLINGSPOR;165,78936;76,12;;Lijas
15-00886;TELA ESMERIL KL371 120 KLINGSPOR;165,78936;76,12;;Lijas
15-00887;TELA ESMERIL KL371 150 KLINGSPOR;165,78936;76,12;;Lijas
15-00888;TELA ESMERIL KL371 180 KLINGSPOR;165,795894;76,123;;Lijas
15-00889;TELA ESMERIL KL371 60 KLINGSPOR;201,44322;92,49;;Lijas
15-00890;TELA ESMERIL KL371 80 KLINGSPOR;165,78936;76,12;;Lijas
2-00891;TEXTURADO SOFIA 200 BEIGE X 30;11297,286;5187;;Tekno
2-00892;TEXTURADO SOFIA 200 BLANCO X 30;11297,286;5187;;Tekno
2-00893;TEXTURADO SOFIA 200 CEMENTO X 30;11297,286;5187;;Tekno
2-00894;TEXTURADO SOFIA 200 GRIS FANTASMA X 30;11297,286;5187;;Tekno
2-00895;TEXTURADO SOFIA 200 ROJO OXIDO X 30;11297,286;5187;;Tekno
2-00896;TEXTURADO SOFIA 200 X 15;5858,82;2690;;Tekno
2-00897;TEXTURADO SOFIA 200 X 6;2380,554;1093;;Tekno
11-00898;THINER X 1 ;326,7;150;;Diluyentes
12-00899;VENDAS X 1 M X 25M;761,09;370;;Accesorios
12-00900;VENDAS X 25 CM X 25 M;514,25;250;;Accesorios
3-00901;WALL LATEX TENDENCIA SATINADO COLOR  AMARILLO RADIANTE X 1;1126,026;517;;Wall
3-00902;WALL LATEX TENDENCIA SATINADO COLOR  AMARILLO RADIANTE X 4;4064,148;1866;;Wall
3-00903;WALL LATEX TENDENCIA SATINADO COLOR AZUL RENOVADOR X 1;1126,026;517;;Wall
3-00904;WALL LATEX TENDENCIA SATINADO COLOR AZUL RENOVADOR X 4;4064,148;1866;;Wall
3-00905;WALL LATEX TENDENCIA SATINADO COLOR BEIGE PLACENTERO X 1 ;1126,026;517;;Wall
3-00906;WALL LATEX TENDENCIA SATINADO COLOR BEIGE PLACENTERO X 4;4064,148;1866;;Wall
3-00907;WALL LATEX TENDENCIA SATINADO COLOR BLANCO ESPLENDIDO X 1 ;1126,026;517;;Wall
3-00908;WALL LATEX TENDENCIA SATINADO COLOR BLANCO ESPLENDIDO X 4;4064,148;1866;;Wall
3-00909;WALL LATEX TENDENCIA SATINADO COLOR BLANCO MAGNIFICO X 1;1126,026;517;;Wall
3-00910;WALL LATEX TENDENCIA SATINADO COLOR BLANCO MAGNIFICO X 4;4064,148;1866;;Wall
3-00911;WALL LATEX TENDENCIA SATINADO COLOR GRIS DOMINANTE X 1;1126,026;517;;Wall
3-00912;WALL LATEX TENDENCIA SATINADO COLOR GRIS DOMINANTE X 4;4064,148;1866;;Wall
3-00913;WALL LATEX TENDENCIA SATINADO COLOR MAGENTA EXOTICO X 1 ;1126,026;517;;Wall
3-00914;WALL LATEX TENDENCIA SATINADO COLOR MARRON SOFISTICADO X 1 ;1126,026;517;;Wall
3-00915;WALL LATEX TENDENCIA SATINADO COLOR MARRON SOFISTICADO X 4;4064,148;1866;;Wall
3-00916;WALL LATEX TENDENCIA SATINADO COLOR NARANJA VITAL X 1;1126,026;517;;Wall
3-00917;WALL LATEX TENDENCIA SATINADO COLOR NARANJA VITAL X 4;4064,148;1866;;Wall
3-00918;WALL LATEX TENDENCIA SATINADO COLOR ROJO EXITANTE X 1;1126,026;517;;Wall
3-00919;WALL LATEX TENDENCIA SATINADO COLOR ROJO EXITANTE X 4;4064,148;1866;;Wall
3-00920;WALL LATEX TENDENCIA SATINADO COLOR ROSA SOÑADO X 1;1126,026;517;;Wall
3-00921;WALL LATEX TENDENCIA SATINADO COLOR ROSA SOÑADO X 4;4064,148;1866;;Wall
3-00922;WALL LATEX TENDENCIA SATINADO COLOR TURQUESA FRESCO X 1;1126,026;517;;Wall
3-00923;WALL LATEX TENDENCIA SATINADO COLOR TURQUESA FRESCO X 4;4064,148;1866;;Wall
3-00924;WALL LATEX TENDENCIA SATINADO COLOR VERDE SALVAJE X 1 ;1126,026;517;;Wall
3-00925;WALL LATEX TENDENCIA SATINADO COLOR VERDE SALVAJE X 4;4064,148;1866;;Wall
3-00926;WALL LATEX TENDENCIA SATINADO COLOR VIOLETA MAJESTUOSO X 1;1126,026;517;;Wall
3-00927;WALL LATEX TENDENCIA SATINADO COLOR VIOLETA MAJESTUOSO X 4;4064,148;1866;;Wall
2-00928;ZT PRO LATEX PARA INTERIORES TEKNO X 10;3016,288;1558;;Tekno
2-00929;ZT PRO LATEX PARA INTERIORES TEKNO X 20;5773,152;2982;;Tekno
1-00930;MADERIN ACEITE DE LINO X 1;218,30336;112,76;;Duracril
1-00931;MADERIN ACEITE DE LINO X 4;728,55552;376,32;;Duracril
-00932;TEKNOLATEX COLOR NEGRO X 1/2;0;;;
-00933;TEKNOLATEX COLOR NEGRO X 1;0;;;
-00934;TEKNOLATEX COLOR NEGRO X 4;0;;;
-00935;ESMALTE SINTETICO TEKNO AZULEJO X 1;0;;;
-00936;ESMALTE SINTETICO TEKNO AZULEJO X 1/2;0;;;
-00937;ESMALTE SINTETICO TEKNO AZULEJO X 1/4;0;;;
-00938;HIDROTEK BERMELLON TEKNO X 1;0;;;
-00939;HIDROTEK BERMELLON TEKNO X 1/2;0;;;
-00940;HIDROTEK BERMELLON TEKNO X 4;0;;;
-00941;HIDROTEK AMARILLO TEKNO X 1;0;;;
-00942;HIDROTEK AMARILLO TEKNO X 1/2;0;;;
-00943;HIDROTEK AMARILLO TEKNO X 4;0;;;
-00944;HIDROTEK NEGRO TEKNO X 1;0;;;
-00945;HIDROTEK NEGRO TEKNO X 1/2;0;;;
-00946;HIDROTEK NEGRO TEKNO X 4;0;;;
-00947;HIDROTEK AZUL TEKNO X 1;0;;;
-00948;HIDROTEK AZUL TEKNO X 1/2;0;;;
-00949;HIDROTEK AZUL TEKNO X 4;0;;;
-00950;HIDROTEK VERDE  TEKNO X 1;0;;;
-00951;HIDROTEK VERDE TEKNO X 1/2;0;;;
-00952;HIDROTEK VERDE TEKNO X 4;0;;;
-00953;ESMALTE AL AGUA PARA PISCINA BLANCO X 4 ;0;;;
-00954;ESMALTE AL AGUA PARA PISCINA BLANCO X 10;0;;;
-00955;ESMALTE AL AGUA PARA PISCINA BLANCO X 20;0;;;
-00956;ESMALTE EPOXI CON SOLVENTE GRIS TEKNO X 4;0;;;
-00957;ESMALTE EPOXI CON SOLVENTE GRIS OSCURO TEKNO X 4;0;;;
-00958;ESMALTE EPOXI CON SOLVENTE GRIS TEKNO X 1;0;;;
-00959;ESMALTE EPOXI CON SOLVENTE GRIS OSCURO TEKNO X 1;0;;;
